站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0A931,三和,216,121.5952,25.2332,新北市,金山區三和國小兩湖分校,2014/04/01,　,原(C0A930)站因移位，於2014/4/1更變為(C0A931)站。,C0A930,　
C0A940,金山,49,121.644,25.2236,新北市,金山區中興段404地號(磺港社區活動中心內),1995/01/01,　,　,　,　
C0A950,鼻頭角,118,121.9234,25.129,新北市,瑞芳區鼻頭角燈塔旁,1995/01/01,　,　,　,　
C0A970,三貂角,116,122.0021,25.0076,新北市,貢寮區三貂角燈塔旁,1996/01/01,　,　,　,　
C0A980,社子,54,121.4697,25.1095,臺北市,士林區延平北路9段212號(台北海洋技術學院內),1997/12/01,　,　,　,　
C0A9A0,大直,49,121.5429,25.078,臺北市,中山區北安路420號(大直高中內),1997/12/01,　,　,　,　
C0A9B0,石牌,7,121.5138,25.1163,臺北市,北投區石牌路1段139號(石牌國中內),1997/12/01,　,　,　,　
C0A9C0,天母,35,121.5372,25.1175,臺北市,士林區天母東路116號(三玉國小內),1997/12/01,　,　,　,　
C0A9E0,士林,26,121.503,25.0903,臺北市,士林區延平北路6段308號(社子國小內),1997/12/01,　,　,　,　
C0A9F0,內湖,35,121.5755,25.0794,臺北市,內湖區內湖路一段520號(內湖高工內),1997/12/01,　,　,　,　
C0A9G0,南港,42,121.6029,25.0554,臺北市,南港區興南路62號(東新國小內),1997/12/01,　,　,　,　
C0A9I1,三重,18,121.4885,25.0567,新北市,三重區集美街10號(集美國小校園內),2010/10/11,　,原(C0A9I0)站因移位，於2010/10/11更變為(C0A9I1)站。,C0A9I0,　
C0AC40,大屯山,1079,121.5224,25.1757,臺北市,北投區湖田段461-6地號(民航局大屯山助航臺),2006/01/01,　,　,　,　
C0AC60,三峽,55,121.3697,24.939,新北市,三峽區復興路238號(三峽國中校園內),2009/10/01,　,　,　,　
C0AC70,信義,71,121.5646,25.0378,臺北市,信義區市府路1號(台北市政府頂樓),2009/10/01,　,　,　,　
C0AC80,文山,40,121.5757,25.0024,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內),2009/12/01,　,原(C1AC80)站因擴充為氣象站，於2009/12/1升級為(C0AC80)站。,C1AC80,　
C0ACA0,新莊,25,121.4468,25.0515,新北市,新莊區中和街193號(榮富國小校園內),2009/12/01,　,原(C1ACA0)站因擴充為氣象站，於2009/12/1升級為(C0ACA0)站，站址搬遷至同校行政大樓西側。,C1ACA0,　
C0AD00,三芝,86,121.5019,25.2581,新北市,三芝區育英路22號(三芝國小內),2009/11/01,　,　,　,　
C0AD10,八里,27,121.4039,25.1502,新北市,八里區中山路二段338號(八里國小內),2009/11/01,　,　,　,　
C0AD20,深坑,57,121.6176,25.0014,新北市,深坑區文化街45號(深坑國小內),2009/11/01,　,　,　,　
C0AD30,蘆洲,20,121.4723,25.0866,新北市,蘆洲區三民路96號(三民高中內),2009/11/01,　,　,　,　
C0AD40,土城,32,121.4452,24.9732,新北市,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂),2009/11/01,　,　,　,　
C0AD50,鶯歌,84,121.3463,24.9515,新北市,鶯歌區尖山埔路106號(鶯歌國小內),2009/11/01,　,　,　,　
C0AG90,中和,25,121.4904,24.9926,新北市,中和區錦和路350號(錦和運動公園),2011/08/23,　,　,　,　
C0AH00,汐止,38,121.6588,25.0669,新北市,汐止區大同路二段394號(汐止國中),2011/09/01,　,　,　,　
C0AH10,永和,30,121.5081,25.0113,新北市,永和區永平路205號(永平高中校園內),2014/01/01,　,　,　,　
C0AH30,五分山,755,121.7808,25.0713,新北市,新北市瑞芳區靜安路四段1巷1號,2016/01/01,　,　,　,　
C0AH40,平等,405,121.5771,25.1291,臺北市,士林區平菁街101號(平等國小),2016/08/01,　,　,　,　
C0AH50,林口,275,121.3808,25.0722,新北市,林口區仁愛路二段173號(林口高中內),2017/01/10,　,　,　,　
C0AH70,松山,34,121.5504,25.0487,臺北市,松山區敦化北路1號(臺北市松山運動中心),2017/04/26,　,　,　,　
C0C460,復興,482,121.3523,24.8202,桃園市,復興區澤仁里中正路248號(介壽國民中學校園內),2007/10/01,　,原(C1C460)站因擴充為氣象站，於2007/10/1升級為(C0C460)站。,C1C460,　
C0C480,桃園,105,121.3232,24.9924,桃園市,桃園區成功路二段144號(桃園高級農工職業學校校園內),2008/01/01,　,原(C1C480)站因擴充為氣象站，於2008/1/1升級為(C0C480)站。,C1C480,　
C0C490,八德,157,121.2833,24.9287,桃園市,八德區興仁里中山路94號(八德國民小學校園內),2011/12/01,　,原(C1C490)站因擴充為氣象站，於2011/12/1升級為(C0C490)站。,C1C490,　
C0C520,中壢,151,121.1853,24.9676,桃園市,中壢區五權里(中央大學校園內),2007/10/01,　,原(C1C520)站因擴充為氣象站，於2007/10/1升級為(C0C520)站。,C1C520,　
C0C540,埔心,70,121.226,25.0478,桃園市,大園區埔心里25鄰埔心50號(埔心國民小學校園內),2008/01/01,　,原(C1C540)站因擴充為氣象站，於2008/1/1升級為(C0C540)站。,C1C540,　
C0C590,觀音,29,121.1533,25.0271,桃園市,觀音區廣福里10-42號(逸福農場),2007/10/01,　,　,　,　
C0C620,蘆竹,19,121.2658,25.0843,桃園市,蘆竹區坑口里14鄰旁,2011/12/01,　,原(C1C620)站因擴充為氣象站，於2011/12/1升級為(C0C620)站。,C1C620,　
C0C630,大溪,209,121.2655,24.8829,桃園市,大溪區員林路2段450號(員樹林國小校園內),2007/12/01,　,　,　,　
C0C650,平鎮,208,121.2146,24.8975,桃園市,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內),2007/12/01,　,　,　,　
C0C660,楊梅,176,121.143,24.9124,桃園市,楊梅區金華街100號(楊心國小),2013/08/01,　,　,　,　
C0C670,龍潭,250,121.2214,24.8701,桃園市,龍潭區中興路726號（龍潭消防分隊）,2014/04/01,　,　,　,　
C0C680,龜山,228,121.3866,25.0285,桃園市,龜山區文化一路250號(國立體育大學田徑場),2017/4/12,　,　,　,　
C0D360,梅花,523,121.2086,24.6783,新竹縣,尖石鄉梅花村1鄰11號(梅花國小校園內),1987/06/01,　,　,　,　
C0D390,關西,146,121.1739,24.7982,新竹縣,關西鎮北斗里北門口41號(關西國中校園內),2008/01/01,　,原(C1D390)站因擴充為氣象站，於2008/1/1升級為(C0D390)站。,C1D390,　
C0D430,峨眉,87,121.0172,24.6905,新竹縣,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內),2011/12/01,　,原(C1D430)站因擴充為氣象站，於2011/12/1升級為(C0D430)站。,C1D430,　
C0D480,打鐵坑,223,121.1508,24.8497,新竹縣,新埔鎮新北里8鄰大北坑28號旁,2008/01/01,　,原(C1D480)站因擴充為氣象站，於2008/1/1升級為(C0D480)站。,C1D480,　
C0D540,橫山,227,121.1169,24.7112,新竹縣,橫山鄉橫山村橫山段426-6地號上,2007/10/01,　,　,　,　
C0D550,雪霸,1956,121.1161,24.527,新竹縣,五峰鄉桃山村民石380號(雪霸農場內),2007/10/01,　,　,　,　
C0D560,竹東,147,121.0579,24.7671,新竹縣,竹東鎮二重國民小學校園內,2008/01/01,　,原(C1D560)站因擴充為氣象站，於2008/1/1升級為(C0D560)站。,C1D560,　
